/* DATA DESCRIPTION:
Citation:	Dupont, Lydie M; Zhao, Xueqin (2015): Pollen analysis of sediment core GeoB8323-1. PANGAEA, https://doi.org/10.1594/PANGAEA.855763, 
	In supplement to: Zhao, X; Dupont, Lydie M; Schefuß, Enno; Meadows, Michael E; Hahn, A; Wefer, Gerold (2016): Holocene vegetation and climate variability in the winter and summer rainfall zones of South Africa. The Holocene, 26(6), 843-857, https://doi.org/10.1177/0959683615622544
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
	Regional Archives for Integrated iNvestigations (RAiN) (URI: https://www.marum.de/R_A_I_N.html)
Coverage:	LATITUDE: -32.031500 * LONGITUDE: 18.221500
	DATE/TIME START: 2003-01-29T16:13:00 * DATE/TIME END: 2003-01-29T16:13:00
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 0.345 m
Event(s):	GeoB8323-1 * LATITUDE: -32.031500 * LONGITUDE: 18.221500 * DATE/TIME: 2003-01-29T16:13:00 * ELEVATION: -90.0 m * Recovery: 0.45 m * CAMPAIGN: M57/1 (URI: https://doi.org/10.2312/cr_m57) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * DEVICE: MultiCorer (MUC) * COMMENT: Very dark grayish brown, mud, shell fragments of molluscs, living gastropods, worms. BWT: 12.4°C. BWS for d13C and d18O analysis
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Depth, bottom/max [m] (Depth bot) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Depth, top/min [m] (Depth top) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Age [a AD] (Age) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Pinus [#/cm**3] (Pinus) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Quercus [#] (Que) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Celastraceae/Hippocrateaceae [#] (Cela/Hipp) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Combretaceae [#] (Comeae) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Diospyros [#] (Diospyro) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Myrica [#] (Myr) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Olea [#] (Ole) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Podocarpus [#] (Pod) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Rhamnaceae [#] (Rhaae) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Rhus-type [#] (Rhu-T) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Lannea [#] (Lannea) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Artemisia-type [#] (Art-T) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Pentzia-type [#] (Pentzia-T) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Compositae Tubuliflorae [#] (AsteTubu) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Gazania-type [#] (Gazania-T) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Poaceae [#] (Poac) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Alchornea [#] (Alchornea) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
	Aloe-type [#] (Aloe-T) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * METHOD: Counting, palynology
