/* DATA DESCRIPTION:
Citation:	Dupont, Lydie M; Zhao, Xueqin (2015): Pollen analysis of sediment core GeoB8323-2. PANGAEA, https://doi.org/10.1594/PANGAEA.855772, 
	In supplement to: Zhao, X; Dupont, Lydie M; Schefuß, Enno; Meadows, Michael E; Hahn, A; Wefer, Gerold (2016): Holocene vegetation and climate variability in the winter and summer rainfall zones of South Africa. The Holocene, 26(6), 843-857, https://doi.org/10.1177/0959683615622544
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
	Regional Archives for Integrated iNvestigations (RAiN) (URI: https://www.marum.de/R_A_I_N.html)
Coverage:	LATITUDE: -32.031500 * LONGITUDE: 18.221500
	DATE/TIME START: 2003-01-29T16:40:00 * DATE/TIME END: 2003-01-29T16:40:00
	MINIMUM DEPTH, sediment/rock: 0.015 m * MAXIMUM DEPTH, sediment/rock: 2.705 m
Event(s):	GeoB8323-2 * LATITUDE: -32.031500 * LONGITUDE: 18.221500 * DATE/TIME: 2003-01-29T16:40:00 * ELEVATION: -91.0 m * Recovery: 2.85 m * CAMPAIGN: M57/1 (URI: https://doi.org/10.2312/cr_m57) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: See core description
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Depth, bottom/max [m] (Depth bot) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Depth, top/min [m] (Depth top) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html) * COMMENT: Age model
	Pinus [#] (Pin) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Quercus [#] (Que) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
	Celastraceae/Hippocrateaceae [#] (Cela/Hipp) * PI: Dupont, Lydie M (https://orcid.org/0000-0001-9531-6793, dupont@uni-bremen.de, http://www.marum.de/en/Lydie_Dupont.html)
